Added,Title,Title Short,Series,Book Numbers,Blurb,Authors,Narrators,Tags,Categories,Parent Category,Child Category,Length,Progress,Release Date,Publishers,My Rating,Rating,Ratings,Favorite,Format,Language,Whispersync,From Plus Catalog,Unavailable,Archived,Downloaded,Store Page Changed,Store Page Missing,ASIN,ISBN10,ISBN13,Summary,People Also Bought,Store Page Url,Sample,Web Player,Cover,Search In Goodreads,Subtitle,Collection Ids
68,How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,How to Talk to Anyone,,,"What is that magic quality that makes some people instantly loved and respected? Everyone wants to be their friend (or, if single, their lover!)....",Leil Lowndes,"Joyce Bean, Leil Lowndes","Business Communication, Communication & Social Skills, Personal Success, Relationships, Self-Help",Business & Careers > Personal Success,Business & Careers,Personal Success,8h 59m,,2015-09-01,Brilliance Audio,,4.4,1160,,Unabridged Audiobook,English,,,,,,,,B079TLJV49,,,"<p><i>""You'll not only break the ice, you'll melt it away with your new skills.""</i> -Larry King</p> <p><i>""The lost art of verbal communication may be revitalized by Leil Lowndes.""</i> -Harvey McKay, author of <i>How to Swim with the Sharks Without Being Eaten Alive</i></p> <p>What is that magic quality that makes some people instantly loved and respected? Everyone wants to be their friend (or, if single, their lover). In business, they rise swiftly to the top of the corporate ladder. What is their “Midas touch?”</p> <p>What it boils down to is a more skillful way of dealing with people.</p> <p>The author has spent her career teaching people how to communicate for success. In her book <i>How to Talk to Anyone</i>, Lowndes offers 92 easy and effective sure-fire success techniques - she takes the listener from first meeting all the way up to sophisticated techniques used by the big winners in life. In this information-packed audiobook you’ll find:</p> <ul> <li>9 ways to make a dynamite first impression</li> <li>14 ways to master small talk, “big talk,” and body language</li> <li>14 ways to walk and talk like a VIP or celebrity</li> <li>6 ways to sound like an insider in any crowd</li> <li>7 ways to establish deep subliminal rapport with anyone</li> <li>9 ways to feed someone’s ego (and know when NOT to!)</li> <li>11 ways to make your phone a powerful communications tool</li> <li>15 ways to work a party like a politician works a room</li> <li>7 ways to talk with tigers and not get eaten alive</li> </ul> <p>In her trademark entertaining and straight-shooting style, Leil gives the techniques catchy names so you’ll remember them when you really need them, including: “Rubberneck the Room,” “Be a Copyclass,” “Come Hither Hands,” “Bare Their Hot Button,” “The Great Scorecard in the Sky,” and “Play the Tombstone Game,” for big success in your social life, romance, and business.</p> <p><i>How to Talk to Anyone</i>, which is an update of her popular book, <i>Talking the Winner's Way</i> (see the 5-star reviews of the latter) is based on solid research about techniques that work!</p> <p>By the way, don't confuse <i>How to Talk to Anyone</i> with one of Leil's previous books, <i>How to Talk to Anybody About Anything</i>. This one is completely different!</p>","Undercover Sex Signals, How to Talk to Anyone at Work, How to Make Anyone Fall in Love with You, Conversation Confidence: Secrets to Fearless Conversation, How to Be a People Magnet, Goodbye to Shy, How to Instantly Connect with Anyone, How to Create Chemistry with Anyone",https://audible.in/pd/B079TLJV49?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B079TLJV49,https://m.media-amazon.com/images/I/51hAGh15bTL._SL500_.jpg,https://www.goodreads.com/search?q=Leil%20Lowndes%20-%20How%20to%20Talk%20to%20Anyone,92 Little Tricks for Big Success in Relationships,
67,Exactly What to Say: The Magic Words for Influence and Impact,Exactly What to Say,,,"Often the decision between a customer choosing you over someone like you is your ability to know exactly what to say, when to say it, and how to make it count....",Phil M. Jones,Phil M. Jones,"Communication & Social Skills, Consumer Behaviour & Market Research, Management & Leadership, Marketing & Sales, Negotiating, Sales, Self-Help",Business & Careers > Management & Leadership,Business & Careers,Management & Leadership,1h 14m,,2017-12-01,Lantern Audio,,4.6,116,,Unabridged Audiobook,English,,,,,,,,B077ZF2LB9,,,"<p>Often the decision between a customer choosing you over someone like you is your ability to know exactly what to say, when to say it, and how to make it count. Phil M. Jones has trained more than two million people across five continents and over 50 countries in the lost art of spoken communication. In <i>Exactly What to Say</i>, he delivers the tactics you need to get more of what you want.</p> <p>Best-selling author and multiple award-winner Phil M. Jones is highly regarded as one of the world's leading sales trainers. He has trained more than two million people across five continents and 56 countries and coached some of the biggest global brands in the lost art of spoken communication. In 2013, he won the British Excellence in Sales and Marketing Award for Sales Trainer of the Year, the youngest-ever recipient of that honor. He has also written a series of best-selling books and developed a number of Online training courses that have enrolled tens of thousands of members around the world. Phil divides his time between London and New York.</p>","Exactly How to Sell, Exactly Where to Start, Exactly What to Say: For Real Estate Agents, Three Tools for Tackling Tough Conversations",https://audible.in/pd/B077ZF2LB9?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B077ZF2LB9,https://m.media-amazon.com/images/I/51R6B8Gj6GL._SL500_.jpg,https://www.goodreads.com/search?q=Phil%20M.%20Jones%20-%20Exactly%20What%20to%20Say,The Magic Words for Influence and Impact,
66,The Mind-Body Problem: The MIT Press Essential Knowledge Series,The Mind-Body Problem,MIT Press Essential Knowledge (book ),∞,"In this book the philosopher Jonathan Westphal examines the mind-body problem in detail, laying out the reasoning behind the solutions that have been offered in the past....",Jonathan Westphal,Sean Pratt,"Consciousness & Thought, Movements, Philosophy, Psychology, Psychology & Mental Health, Science",Politics & Social Sciences > Philosophy,Politics & Social Sciences,Philosophy,5h,,2016-09-12,Ascent Audio,,5,3,,Unabridged Audiobook,English,,true,true,,,,,B079DFCSCM,,,"<p>Philosophers from Descartes to Kripke have struggled with the glittering prize of modern and contemporary philosophy: the mind-body problem. The brain is physical. If the mind is physical, we cannot see how. If we cannot see how the mind is physical, we cannot see how it can interact with the body. And if the mind is not physical, it cannot interact with the body. Or so it seems. </p> <p>In this book the philosopher Jonathan Westphal examines the mind-body problem in detail, laying out the reasoning behind the solutions that have been offered in the past and presenting his own proposal. The sharp focus on the mind-body problem, a problem that is not about the self or consciousness or the soul or anything other than the mind and the body, helps clarify both problem and solutions. Westphal outlines the history of the mind-body problem, beginning with Descartes. He describes mind-body dualism, which claims that the mind and the body are two different and separate things, nonphysical and physical, and he also examines physicalist theories of mind; antimaterialism, which proposes limits to physicalism and introduces the idea of qualia; and scientific theories of consciousness. </p> <p>Finally, Westphal examines the largely forgotten neutral monist theories of mind and body held by Ernst Mach, William James, and Bertrand Russell, which attempt neither to extract mind from matter nor to dissolve matter into mind. Westphal proposes his own version of neutral monism. This version is unique among neutral monist theories in offering an account of mind-body interaction. </p>",,https://audible.in/pd/B079DFCSCM?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B079DFCSCM,https://m.media-amazon.com/images/I/41xxUqAUeqL._SL500_.jpg,https://www.goodreads.com/search?q=Jonathan%20Westphal%20-%20The%20Mind-Body%20Problem,The MIT Press Essential Knowledge Series,__AYCL
65,The Warren Buffett Way: 3rd Edition,The Warren Buffett Way,,,"Warren Buffett remains one of the most sought-after and watched figures in business today. He has become a billionaire and investment sage by buying chunks of companies and holding onto them, managing them as businesses, and eventually reaping huge profits for himself and investors in Berkshire...",Robert Hagstrom,Stephen Hoye,"Business Leaders, Investing & Trading, Personal Finance, Professionals & Academics",Biographies & Memoirs > Professionals & Academics,Biographies & Memoirs,Professionals & Academics,10h 31m,,2013-09-30,Random House Audio,,4.6,868,,Unabridged Audiobook,English,,,,,,,,B079J31PHQ,,,"Warren Buffett remains one of the most sought-after and watched figures in business today. He has become a billionaire and investment sage by buying chunks of companies and holding onto them, managing them as businesses, and eventually reaping huge profits for himself and investors in Berkshire Hathaway. The first two editions of <i>The Warren Buffett Way</i> gave investors their first in-depth look at the innovative investment and business strategies behind the spectacular success of living legend Warren E. Buffett. Tracing Warren Buffett's career from the beginning, Hagstrom told listeners exactly how, starting with an initial investment of only $100 Buffett built a business empire and has an estimated net worth of $44 billion. The <i>Third Edition</i> of <i>The Warren Buffett Way</i> will focus on the timeless principles and strategies behind Buffett’s extraordinary investment success. There will be new chapters on the important distinctions between investment and trading and an examination of the most successful disciples of Warren Buffett. Some less important material will be deleted and the overall focus will be to create an edition that will stand the test of time, distilling Buffett’s success formula in a way that will provide value to listeners for decades to come.",,https://audible.in/pd/B079J31PHQ?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B079J31PHQ,https://m.media-amazon.com/images/I/51lmFVyRNjL._SL500_.jpg,https://www.goodreads.com/search?q=Robert%20Hagstrom%20-%20The%20Warren%20Buffett%20Way,3rd Edition,
64,Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,Secrets of the Millionaire Mind,,,"Secrets of the Millionaire Mind reveals the missing link between wanting success and achieving it! Have you ever wondered why some people seem to get rich easily, while others are destined for a life of financial struggle? Is the difference found in their education, intelligence, skills, timing...",T. Harv Eker,Charles Constant,"Budgeting & Money Management, Entrepreneurship, Money Management, Motivation & Self-Improvement, Personal Finance, Personal Success, Small Business & Entrepreneurship",Business & Careers > Small Business & Entrepreneurship,Business & Careers,Small Business & Entrepreneurship,5h 10m,,2016-06-14,HarperAudio,,4.7,1080,,Unabridged Audiobook,English,,,,,,,,B079FPPM7J,,,"<p><em>Secrets of the Millionaire Mind</em> reveals the missing link between wanting success and achieving it!</p><p>Have you ever wondered why some people seem to get rich easily, while others are destined for a life of financial struggle? Is the difference found in their education, intelligence, skills, timing, work habits, contacts, luck, or their choice of jobs, businesses, or investments?</p><p>The shocking answer is: None of the above!</p><p>In his groundbreaking <em>Secrets of the Millionaire Mind</em>, T. Harv Eker states: “Give me five minutes, and I can predict your financial future for the rest of your life!” Eker does this by identifying your “money and success blueprint.” We all have a personal money blueprint ingrained in our subconscious minds, and it is this blueprint, more than anything, that will determine our financial lives. You can know everything about marketing, sales, negotiations, stocks, real estate, and the world of finance, but if your money blueprint is not set for a high level of success, you will never have a lot of money—and if somehow you do, you will most likely lose it! The good news is that now you can actually reset your money blueprint to create natural and automatic success.</p><p><em>Secrets of the Millionaire Mind</em> is two books in one. Part I explains how your money blueprint works. Through Eker’s rare combination of street smarts, humor, and heart, you will learn how your childhood influences have shaped your financial destiny. You will also learn how to identify your own money blueprint and “revise” it to not only create success but, more important, to keep and continually grow it.</p><p>In Part II you will be introduced to seventeen “Wealth Files,” which describe exactly how rich people think and act differently than most poor and middle-class people. Each Wealth File includes action steps for you to practice in the real world in order to dramatically increase your income and accumulate wealth.</p><p>If you are not doing as well financially as you would like, you will have to change your money blueprint. Unfortunately your current money blueprint will tend to stay with you for the rest of your life, unless you identify and revise it, and that’s exactly what you will do with the help of this extraordinary book. According to T. Harv Eker, it’s simple. If you think like rich people think and do what rich people do, chances are you’ll get rich too!</p>",,https://audible.in/pd/B079FPPM7J?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B079FPPM7J,https://m.media-amazon.com/images/I/51m+8bXcVcL._SL500_.jpg,https://www.goodreads.com/search?q=T.%20Harv%20Eker%20-%20Secrets%20of%20the%20Millionaire%20Mind,Mastering the Inner Game of Wealth,
63,"Dopamine Detox: A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things (Productivity Series, Book 1)",Dopamine Detox,Productivity Series (book ),∞,Reclaim your focus in 48 hours or less....,Thibaut Meurisse,Joshua Alexander,"Self-Help, Success, Time Management",Parenting & Relationships > Self-Help,Parenting & Relationships,Self-Help,1h 5m,,2021-08-26,Thibaut Meurisse,,4.4,618,,Unabridged Audiobook,English,,,,,,,,B09DQD618K,,,"<p><b>Reclaim your focus in 48 hours or less. </b></p> <p>Do you keep procrastinating? Do you feel restless and unable to focus on your work? Do you have trouble getting excited about major goals?</p> <p>If so, you might need a dopamine detox.</p> <p>In today’s world where distractions are everywhere, the ability to focus has become more and more difficult to achieve. We are constantly being stimulated, feeling restless, often without knowing why.<br> <br> When the time comes to work, we suddenly find an excess of other things to do. Instead of working toward our goals, we go for a walk, grab a coffee, or check our emails. Everything seems like a great idea - everything except the very things we <i>should</i> be doing.</p> <p>Do you recognize yourself in the above situation?</p> <p>If so, don’t worry. You’re simply overstimulated.</p> <p><i>Dopamine Detox </i>will help you lower your level of stimulation and regain focus <b>in 48 hours or less</b>, so that you can tackle your key tasks.</p> <p>More specifically, in <i>Dopamine Detox</i> you’ll discover:</p> <p></p> <ul> <li>what dopamine is and how it works</li> <li>the main benefits of completing a dopamine detox</li> <li>three simple steps to implement a successful detox in the next 48 hours</li> <li>practical exercises to eliminate distractions and boost your focus</li> <li>simple tools and techniques to avoid overstimulation and help you stay focused, and much more.</li> </ul> <p><i>Dopamine Detox </i>is your must-listen, must-follow guide to help you remove distractions so you can finally work on your goals with ease. If you like easy-to-understand strategies, practical exercises, and no-nonsense teaching, you will love this book.</p> <p><b>PLEASE NOTE: When you purchase this title, the accompanying PDF will be available in your Audible Library along with the audio.</b></p>",,https://audible.in/pd/B09DQD618K?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B09DQD618K,https://m.media-amazon.com/images/I/51-zbeOmyaL._SL500_.jpg,https://www.goodreads.com/search?q=Thibaut%20Meurisse%20-%20Dopamine%20Detox,"A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things (Productivity Series, Book 1)",
62,The Compound Effect: Multiply Your Success One Simple Step at a Time,The Compound Effect,,,"The Compound Effect contains the essence of what every super achiever needs to know, practice, and master to obtain extraordinary success....",Darren Hardy,Darren Hardy,"Leadership, Management, Management & Leadership, Mentoring & Coaching, Motivation & Self-Improvement, Personal Success, Self-Help, Success",Business & Careers > Management & Leadership,Business & Careers,Management & Leadership,4h 44m,,2019-01-22,Folio Literary Management,,4.6,2956,,Unabridged Audiobook,English,,,,,,,,1982648066,,,"<p><i>The Compound Effect</i> contains the essence of what every super achiever needs to know, practice, and master to obtain extraordinary success. Inside you will hear strategies on:</p> <ul> <li>How to win-every time</li> <li>Eradicating the bad habits that are derailing your progress</li> <li>Painlessly installing the few key disciplines required for major breakthroughs</li> <li>The real, lasting keys to gaining and sustaining motivation</li> <li>Capturing the elusive, awesome force of momentum</li> <li>The acceleration secrets of superachievers</li> </ul> <p>Inside you will learn how to get the success you desire and the life you deserve.</p>",,https://audible.in/pd/1982648066?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=1982648066,https://m.media-amazon.com/images/I/51F4nsOMnmL._SL500_.jpg,https://www.goodreads.com/search?q=Darren%20Hardy%20-%20The%20Compound%20Effect,Multiply Your Success One Simple Step at a Time,__AYCL
61,The Art of Profitability,The Art of Profitability,,,"An extraordinarily new business slant on how companies can generate greater profits in 23 compact lessons with ongoing tutorials between two fictitious individuals. In the past, companies taught their employees about quality. In today's unstable economy, employers must stress the importance of...",Adrian Slywotzky,"Scott Mosenson, Jack Ong","Corporate & Public Finance, Leadership, Management & Leadership, Marketing & Sales, Personal Success, Sales, Time Management & Productivity",Business & Careers > Management & Leadership,Business & Careers,Management & Leadership,5h 35m,,2003-05-16,Hachette Audio,,4.8,12,,Unabridged Audiobook,English,,,,,,,,B07B8B8QFT,,,"<b> An extraordinarily new business slant on how companies can generate greater profits in 23 compact lessons with ongoing tutorials between two fictitious individuals.</b><b><br></b>In the past, companies taught their employees about quality. In today's unstable economy, employers must stress the importance of profitability. Now with scores of examples from the global marketplace, the bestselling coauthor of The Profit Zone and Profit Patterns takes you to a higher level in the art of business. Each of the twenty-three chapters in this concise, challenging book presents a different, powerful business model...and a provocative dialogue between an extraordinary teacher called David Zhao and his young protégé. Revealed are the invisible but significant governing principles that allow businesses to survive and prosper in any economic climate. By participating in each session with the exuberant, challenging master, you too will learn how your company and your competitors generate profit...what approach best applies to your profit-making strategy...what specific actions your organization can take in the next ninety days to improve its bottom line...and more.<b><br></b><b><br></b><b><br></b>",,https://audible.in/pd/B07B8B8QFT?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B07B8B8QFT,https://m.media-amazon.com/images/I/41WYOoGZ-BL._SL500_.jpg,https://www.goodreads.com/search?q=Adrian%20Slywotzky%20-%20The%20Art%20of%20Profitability,,
60,The Tatas: How a Family Built a Business and a Nation,The Tatas,,,"The 19th century was an exciting time of initiative and enterprise around the world. If John D. Rockefeller was creating unimagined wealth in the United States that he would put to the service of the nation, a Parsi family with humble roots was doing the same in India....","Girish Kuber, Vikrant Pande - translator",Rajiv Dadia,"Business Leaders, Professionals & Academics",Biographies & Memoirs > Professionals & Academics,Biographies & Memoirs,Professionals & Academics,"9h 41m ",9h 35m left,2020-03-17,Audible Studios,,4.7,792,,Unabridged Audiobook,English,,,,,,,,B085WC2YM2,,,"<p><b>Winner of the Gaja Capital Business Book Prize 2019</b></p> <p>The 19th century was an exciting time of initiative and enterprise around the world. If John D. Rockefeller was creating unimagined wealth in the United States that he would put to the service of the nation, a Parsi family with humble roots was doing the same in India. </p> <p>In 1822, a boy was born in a priestly household in Gujarat's Navsari village. Young Nusserwanji knew early on that his destiny lay beyond his village and decided to head for Bombay to start a business - the first in his family to do so. He had neither higher education nor knowledge of business matters, just a burning passion to carve a path of his own. What Nusserwanji started as a cotton trading venture, his son Jamsetji, born in the same year as Rockefeller, grew into a multifaceted business, turning around sick textile mills, setting up an iron and steel company, envisioning a cutting-edge institute of higher learning, building a world-class hotel, and earning himself the title of the 'Bhishma Pitamah of Indian Industry'. </p> <p>Stewarded ably over the decades by Jamsetji's sons, Dorabji and Ratanji, the charismatic and larger-than-life JRD, and thereafter the more businesslike Ratan, the Tata group today is a $110 billion empire. <i>The Tatas</i> is their story. But it is more than just a history of the industrial house; it is an inspiring account of India in the making. It chronicles how each generation of the family invested not only in the expansion of its own business interests but also in nation building. Few know, for instance, that the first hydel power project in the world was conceived of and built by the Tatas. Nor that some radical labour concepts such as eight-hour work shifts were born in India, at the Tata mill in Nagpur. The Tata Cancer Research Centre, the Indian Institute of Science, the Tata Institute of Fundamental Research, and the national carrier Air India - the family has a long, rich and unrivalled legacy. </p> <p><i>The Tatas</i> is a tribute to a line of visionaries who have a special place in the hearts and minds of ordinary Indians. Written by seasoned journalist Girish Kuber, this is also the only book that tells the complete Tata story spanning almost 200 years.</p>",,https://audible.in/pd/B085WC2YM2?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B085WC2YM2,https://m.media-amazon.com/images/I/512OLc34QeL._SL500_.jpg,https://www.goodreads.com/search?q=Girish%20Kuber%20-%20The%20Tatas,How a Family Built a Business and a Nation,
59,The Ride of a Lifetime: Lessons in Creative Leadership from the CEO of the Walt Disney Company,The Ride of a Lifetime,,,"The CEO of the Walt Disney Company shares the ideas and values he has used to reinvent one of the most beloved companies in the world, and inspire the people who bring the magic to life....",Robert Iger,"Robert Iger, Jim Frangione","Business Leaders, Leadership, Management & Leadership, Motivation & Self-Improvement, Personal Success, Professionals & Academics",Biographies & Memoirs > Professionals & Academics,Biographies & Memoirs,Professionals & Academics,8h 45m,,2019-09-23,Penguin Audio,,4.8,991,,Unabridged Audiobook,English,,,,,,,,B07XZNSCWH,,,"<p><b>Brought to you by Penguin.<br> <br> The CEO of Disney, one of </b><b><i>Time</i></b><b>'s most influential people of 2019, shares the ideas and values he embraced to reinvent one of the most beloved companies in the world and inspire the people who bring the magic to life.</b><br> <br> Robert Iger became CEO of The Walt Disney Company in 2005, during a difficult time. Morale had deteriorated, competition was intense, and technology was changing faster than at any time in the company's history. His vision came down to three clear ideas: Recommit to the concept that quality matters, embrace technology instead of fighting it, and think bigger?think global?and turn Disney into a stronger brand in international markets.<br> <br> Fourteen years later, Disney is the largest, most respected media company in the world, counting Pixar, Marvel, Lucasfilm and 21st Century Fox among its properties. Its value is nearly five times what it was when Iger took over, and he is recognized as one of the most innovative and successful CEOs of our era.<br> <br> In <i>The Ride of a Lifetime</i>, Robert Iger shares the lessons he's learned while running Disney and leading its 200,000 employees, and he explores the principles that are necessary for true leadership, including:</p> <p><b>Optimism.</b> Even in the face of difficulty, an optimistic leader will find the path toward the best possible outcome and focus on that, rather than give in to pessimism and blaming.</p> <p><b>Courage.</b> Leaders have to be willing to take risks and place big bets. Fear of failure destroys creativity.</p> <p><b>Decisiveness.</b> All decisions, no matter how difficult, can be made on a timely basis. Indecisiveness is both wasteful and destructive to morale.</p> <p><b>Fairness.</b> Treat people decently, with empathy, and be accessible to them.</p> <p>This book is about the relentless curiosity that has driven Iger for forty-five years, since the day he started as the lowliest studio grunt at ABC. It's also about thoughtfulness and respect, and a decency-over-dollars approach that has become the bedrock of every project and partnership Iger pursues, from a deep friendship with Steve Jobs in his final years to an abiding love of the <i>Star Wars</i> mythology.</p>",,https://audible.in/pd/B07XZNSCWH?ipRedirectOverride=true&overrideBaseCountry=true,,https://www.audible.com/webplayer?asin=B07XZNSCWH,https://m.media-amazon.com/images/I/41QUIsTjJXL._SL500_.jpg,https://www.goodreads.com/search?q=Robert%20Iger%20-%20The%20Ride%20of%20a%20Lifetime,Lessons in Creative Leadership from the CEO of the Walt Disney Company,
